,DateTime,Open,Close,High,Low,Volume
0,2022-10-31 08:00:00,104.0,103.4,104.0,103.33,37
1,2022-10-31 08:01:00,103.49,103.4,103.5,103.34,9
2,2022-10-31 08:02:00,103.37,103.32,103.38,103.32,11
3,2022-10-31 08:03:00,103.3,103.0,103.3,103.0,16
4,2022-10-31 08:04:00,102.81,102.71,102.82,102.71,13
5,2022-10-31 08:05:00,102.75,102.8,102.86,102.75,36
6,2022-10-31 08:06:00,102.81,102.93,102.93,102.79,28
7,2022-10-31 08:07:00,103.0,102.95,103.0,102.95,7
8,2022-10-31 08:08:00,102.92,102.78,102.92,102.78,6
9,2022-10-31 08:09:00,102.81,102.81,102.81,102.81,1
10,2022-10-31 08:10:00,102.7,102.79,102.79,102.7,4
11,2022-10-31 08:11:00,102.79,102.79,102.79,102.79,0
12,2022-10-31 08:12:00,102.79,102.79,102.79,102.79,2
13,2022-10-31 08:13:00,102.88,102.88,102.88,102.88,1
14,2022-10-31 08:14:00,102.76,102.76,102.76,102.76,8
15,2022-10-31 08:15:00,102.77,102.77,102.77,102.77,1
16,2022-10-31 08:16:00,102.8,102.6,102.8,102.58,73
17,2022-10-31 08:17:00,102.55,102.55,102.55,102.55,1
18,2022-10-31 08:18:00,102.51,102.5,102.51,102.5,21
19,2022-10-31 08:19:00,102.45,102.49,102.49,102.45,10
20,2022-10-31 08:20:00,102.55,102.55,102.55,102.55,1
21,2022-10-31 08:21:00,102.55,102.42,102.57,102.41,28
22,2022-10-31 08:22:00,102.5,102.5,102.5,102.5,3
23,2022-10-31 08:23:00,102.49,102.5,102.5,102.45,200
24,2022-10-31 08:24:00,102.59,102.68,102.68,102.57,7
25,2022-10-31 08:25:00,102.68,102.68,102.68,102.68,1
26,2022-10-31 08:26:00,102.68,102.68,102.68,102.68,0
27,2022-10-31 08:27:00,102.59,102.55,102.59,102.55,9
28,2022-10-31 08:28:00,102.58,102.5,102.58,102.5,9
29,2022-10-31 08:29:00,102.47,102.47,102.47,102.47,1
30,2022-10-31 08:30:00,102.41,102.32,102.41,102.32,10
31,2022-10-31 08:31:00,102.33,102.3,102.33,102.3,7
32,2022-10-31 08:32:00,102.31,102.31,102.31,102.31,1
33,2022-10-31 08:33:00,102.31,102.31,102.31,102.31,0
34,2022-10-31 08:34:00,102.32,102.35,102.35,102.31,4
35,2022-10-31 08:35:00,102.31,102.31,102.31,102.31,2
36,2022-10-31 08:36:00,102.35,102.28,102.35,102.28,49
37,2022-10-31 08:37:00,102.28,102.28,102.28,102.28,0
38,2022-10-31 08:38:00,102.28,102.28,102.28,102.28,0
39,2022-10-31 08:39:00,102.34,102.34,102.34,102.34,1
40,2022-10-31 08:40:00,102.34,102.34,102.34,102.34,4
41,2022-10-31 08:41:00,102.36,102.36,102.36,102.36,1
42,2022-10-31 08:42:00,102.39,102.39,102.39,102.39,1
43,2022-10-31 08:43:00,102.45,102.5,102.51,102.44,29
44,2022-10-31 08:44:00,102.5,102.5,102.5,102.5,0
45,2022-10-31 08:45:00,102.49,102.49,102.49,102.49,9
46,2022-10-31 08:46:00,102.48,102.48,102.48,102.48,39
47,2022-10-31 08:47:00,102.48,102.48,102.48,102.48,0
48,2022-10-31 08:48:00,102.39,102.39,102.4,102.39,5
49,2022-10-31 08:49:00,102.31,102.31,102.31,102.31,3
50,2022-10-31 08:50:00,102.31,102.31,102.31,102.31,0
51,2022-10-31 08:51:00,102.31,102.31,102.31,102.31,0
52,2022-10-31 08:52:00,102.31,102.31,102.31,102.31,0
53,2022-10-31 08:53:00,102.31,102.31,102.31,102.31,0
54,2022-10-31 08:54:00,102.32,102.32,102.32,102.32,1
55,2022-10-31 08:55:00,102.32,102.4,102.4,102.32,2
56,2022-10-31 08:56:00,102.35,102.39,102.39,102.35,2
57,2022-10-31 08:57:00,102.47,102.35,102.47,102.35,10
58,2022-10-31 08:58:00,102.6,102.51,102.6,102.51,7
59,2022-10-31 08:59:00,102.54,102.54,102.54,102.54,4
60,2022-10-31 09:00:00,102.51,102.51,102.51,102.51,1
61,2022-10-31 09:01:00,102.51,102.51,102.51,102.51,0
62,2022-10-31 09:02:00,102.51,102.36,102.51,102.36,11
63,2022-10-31 09:03:00,102.36,102.36,102.36,102.36,0
64,2022-10-31 09:04:00,102.35,102.32,102.35,102.32,9
65,2022-10-31 09:05:00,102.32,102.32,102.32,102.32,0
66,2022-10-31 09:06:00,102.32,102.32,102.32,102.32,0
67,2022-10-31 09:07:00,102.36,102.36,102.36,102.36,1
68,2022-10-31 09:08:00,102.41,102.41,102.41,102.41,1
69,2022-10-31 09:09:00,102.41,102.41,102.41,102.41,0
70,2022-10-31 09:10:00,102.36,102.33,102.36,102.33,2
71,2022-10-31 09:11:00,102.34,102.34,102.34,102.34,5
72,2022-10-31 09:12:00,102.34,102.34,102.34,102.34,0
73,2022-10-31 09:13:00,102.34,102.34,102.34,102.34,0
74,2022-10-31 09:14:00,102.34,102.36,102.36,102.34,8
75,2022-10-31 09:15:00,102.4,102.4,102.4,102.4,1
76,2022-10-31 09:16:00,102.45,102.45,102.45,102.45,2
77,2022-10-31 09:17:00,102.4,102.4,102.4,102.4,6
78,2022-10-31 09:18:00,102.4,102.4,102.4,102.4,0
79,2022-10-31 09:19:00,102.4,102.4,102.4,102.4,0
80,2022-10-31 09:20:00,102.5,102.5,102.51,102.5,32
81,2022-10-31 09:21:00,102.48,102.48,102.48,102.48,4
82,2022-10-31 09:22:00,102.51,102.51,102.51,102.51,3
83,2022-10-31 09:23:00,102.51,102.51,102.51,102.5,12
84,2022-10-31 09:24:00,102.51,102.51,102.51,102.51,12
85,2022-10-31 09:25:00,102.51,102.51,102.51,102.51,0
86,2022-10-31 09:26:00,102.51,102.51,102.51,102.51,0
87,2022-10-31 09:27:00,102.45,102.49,102.49,102.45,2
88,2022-10-31 09:28:00,102.46,102.37,102.46,102.37,25
89,2022-10-31 09:29:00,102.38,102.37,102.38,102.37,17
90,2022-10-31 09:30:00,102.48,102.48,102.48,102.48,1
91,2022-10-31 09:31:00,102.48,102.48,102.48,102.48,0
92,2022-10-31 09:32:00,102.48,102.51,102.51,102.48,17
93,2022-10-31 09:33:00,102.51,102.51,102.51,102.51,0
94,2022-10-31 09:34:00,102.58,102.58,102.58,102.58,2
95,2022-10-31 09:35:00,102.64,102.75,102.75,102.64,15
96,2022-10-31 09:36:00,102.68,102.8,102.8,102.64,52
97,2022-10-31 09:37:00,102.77,102.77,102.77,102.77,1
98,2022-10-31 09:38:00,102.77,102.77,102.77,102.77,1
99,2022-10-31 09:39:00,102.77,102.78,102.78,102.77,5
100,2022-10-31 09:40:00,102.78,102.78,102.78,102.78,0
101,2022-10-31 09:41:00,102.78,102.78,102.78,102.78,0
102,2022-10-31 09:42:00,102.78,102.78,102.78,102.78,0
103,2022-10-31 09:43:00,102.78,102.78,102.78,102.78,0
104,2022-10-31 09:44:00,102.78,102.78,102.78,102.78,0
105,2022-10-31 09:45:00,102.78,102.78,102.78,102.78,0
106,2022-10-31 09:46:00,102.78,102.78,102.78,102.78,0
107,2022-10-31 09:47:00,102.74,102.77,102.77,102.74,2
108,2022-10-31 09:48:00,102.77,102.77,102.77,102.77,0
109,2022-10-31 09:49:00,102.78,102.78,102.78,102.78,3
110,2022-10-31 09:50:00,102.78,102.78,102.78,102.78,0
111,2022-10-31 09:51:00,102.83,102.81,102.9,102.81,11
112,2022-10-31 09:52:00,102.81,102.81,102.81,102.81,0
113,2022-10-31 09:53:00,102.81,102.81,102.81,102.81,0
114,2022-10-31 09:54:00,102.82,102.79,102.82,102.79,10
115,2022-10-31 09:55:00,102.8,102.83,102.83,102.8,9
116,2022-10-31 09:56:00,102.83,102.83,102.83,102.83,0
117,2022-10-31 09:57:00,102.81,102.79,102.83,102.79,9
118,2022-10-31 09:58:00,102.75,102.75,102.75,102.75,1
119,2022-10-31 09:59:00,102.7,102.7,102.7,102.7,1
120,2022-10-31 10:00:00,102.7,102.7,102.7,102.7,0
121,2022-10-31 10:01:00,102.69,102.7,102.7,102.69,6
122,2022-10-31 10:02:00,102.7,102.7,102.7,102.7,3
123,2022-10-31 10:03:00,102.7,102.7,102.7,102.7,0
124,2022-10-31 10:04:00,102.7,102.7,102.7,102.7,0
125,2022-10-31 10:05:00,102.7,102.7,102.7,102.7,0
126,2022-10-31 10:06:00,102.7,102.7,102.7,102.7,0
127,2022-10-31 10:07:00,102.7,102.7,102.7,102.7,0
128,2022-10-31 10:08:00,102.69,102.79,102.79,102.69,13
129,2022-10-31 10:09:00,102.8,102.8,102.8,102.8,1
130,2022-10-31 10:10:00,102.8,102.8,102.8,102.8,0
131,2022-10-31 10:11:00,102.8,102.8,102.8,102.8,0
132,2022-10-31 10:12:00,102.8,102.8,102.8,102.8,0
133,2022-10-31 10:13:00,102.8,102.8,102.8,102.8,0
134,2022-10-31 10:14:00,102.8,102.8,102.8,102.8,0
135,2022-10-31 10:15:00,102.8,102.8,102.8,102.8,0
136,2022-10-31 10:16:00,102.8,102.8,102.8,102.8,0
137,2022-10-31 10:17:00,102.8,102.8,102.8,102.8,0
138,2022-10-31 10:18:00,102.71,102.71,102.71,102.71,1
139,2022-10-31 10:19:00,102.58,102.45,102.58,102.4,23
140,2022-10-31 10:20:00,102.45,102.45,102.45,102.45,0
141,2022-10-31 10:21:00,102.6,102.61,102.61,102.6,44
142,2022-10-31 10:22:00,102.61,102.61,102.61,102.61,0
143,2022-10-31 10:23:00,102.61,102.61,102.61,102.61,0
